Date,Model A,Model B,Combined
2017/04/09,18.4,,
2017/04/29,20.7,,
2017/05/28,28.6,,
2017/06/07,30.2,,
2017/06/17,33.9,,
2017/06/24,37.8,,
2017/07/11,36.4,62.6,49
2017/07/15,33.7,51.9,43.1
2017/07/31,34.1,55.7,45.0
2017/08/01,34.1,49.3,41.3
2017/08/09,35.4,35.9,35.5
2017/08/17,41.9,,
2017/08/19,37.3,,
2017/08/20,36,10.0,22.2
2017/08/21,33.1,8.1,20.9
2017/08/31,28.1,1.7,14.5
2017/9/04,19.1,3.4,10.6
2017/09/07,12.3,2.2,6.9
2017/09/09,1.7,0.7,1.2
2017/09/12,5.1,3.8,4.7
2017/09/14,2.5,2.1,2.4
2017/09/15,2.6,1.4,2.3
2017/09/16,1.4,0.9,1.1